curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601021, 62.12621474685668, 400, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601888, 213.821383052063, 100, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601966, 19.981997542190552, 1200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH600009, 56.285626779174805, 400, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH603899, 53.785376779174804, 500, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SZ000858, 178.0178, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SZ002415, 34.16341584739685, 700, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SZ002304, 156.52564550628662, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH600436, 283.0282694793701, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH600132, 123.0123, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601816, 4.8704868855476375, 4700, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601100, 61.306129236984255, 400, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH600763, 147.03469101257323, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SZ000596, 263.0162892333984, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH601111, 10.520000457763672, 2200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH600809, 275.81758754577635, 200, 创建时间 2023-01-03 14:55:00
2023-01-04, 买单执行,2023-01-04 09:30:00, SH603833, 119.6119584739685, 200, 创建时间 2023-01-03 14:55:00
