num position 0
curr_date===== 2023-01-03 00:00:00
当前资产： 10000000.0 当前现金： 10000000.0
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601021, 62.20621694793701, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601888, 213.83139381866454, 100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601966, 19.721971313285827, 1100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600009, 55.715566269302364, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH603899, 53.735372542190554, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ000858, 177.57775355834963, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ002415, 34.27343127288818, 700, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ002304, 156.72999572753906, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600436, 283.989990234375, 100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600132, 123.29998779296875, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601816, 4.869999885559082, 4400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601100, 61.516149321365354, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600763, 148.7348732208252, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ000596, 261.7061606750488, 100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601111, 10.401039618492126, 2100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600809, 273.777375, 100, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH603833, 119.01190000000001, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601628, 36.963698899459835, 600, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ002032, 48.90489152603149, 500, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600887, 30.64000129699707, 700, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ000069, 5.290528961849213, 4000, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH603288, 77.6577665260315, 300, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH601689, 56.7156700843811, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600600, 106.5006544937134, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ002756, 91.66916203231811, 300, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH688065, 62.29622610054016, 400, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH603369, 50.0750066947937, 500, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ002475, 29.500001907348633, 700, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ300347, 104.18040753860474, 200, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600000, 7.270727457809447, 3000, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600406, 24.852485381507872, 900, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SZ000786, 25.152516526031498, 900, 创建时间 2023-01-04 09:30:00
2023-01-04, 买单执行,2023-01-04 09:35:00, SH600029, 7.5107512289047245, 2800, 创建时间 2023-01-04 09:30:00
